player,team,nation,pos,age,90s Playing Time,npxG Per 90 Minutes,G-PK Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,Sh/90 Standard,G/Sh Standard,PrgP,KP,PPA,CrsPA,PrgC Carries,CPA Carries,Succ Take-Ons,PrgR Receiving,TklW Tackles,Int,Won Aerial Duels,Fls Performance,Fld Performance,Att 3rd Touches,Mid 3rd Touches,Def 3rd Touches,cluster
Fabian Schär,Newcastle Utd,SUI,DF,31.0,33.9,0.07,0.12,0.02,0.1,1.03,0.11,133,10,18,3,28,1,13,20,24,36,69,38,26,140,1060,1304,4
Fabiano Parisi,Fiorentina,ITA,DF,22.0,16.2,0.06,0.0,0.15,0.2,0.74,0.0,78,16,20,5,50,10,24,64,15,17,24,14,38,313,551,327,5
Fabien Centonze,Nantes,FRA,DF,27.0,8.5,0.0,0.0,0.12352941176470589,0.12352941176470589,0.11470588235294119,0.0,15,6,11,10,21,2,11,26,9,10,10,15,9,139,207,133,3
Fabio Carvalho,RB Leipzig,POR,MF,20.0,1.8,0.12,0.0,0.13,0.25,1.64,0.0,9,2,6,1,8,1,3,13,1,0,2,0,3,61,45,13,9
Fabio Chiarodia,Gladbach,ITA,DF,18.0,1.7,0.0,0.0,0.07,0.07,0.0,0.0,4,1,1,1,0,0,0,1,5,3,5,1,0,5,31,73,0
Fabio González,Las Palmas,ESP,MF,26.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,1,2,2,0,1,1,1,19,88,26,0
Fabio Torsiello,Darmstadt 98,ITA,"FW,DF",18.0,1.7,0.16,0.0,0.0,0.16,2.31,0.0,4,0,2,1,2,0,1,8,0,1,0,4,0,20,23,5,9
Fabio Vieira,Arsenal,POR,"MF,FW",23.0,3.3,0.14,0.0,0.49000000000000005,0.87,1.82,0.0,15,5,6,1,12,6,2,30,2,2,1,8,10,97,76,14,9
Fabrizio Angileri,Getafe,ARG,"DF,MF",29.0,1.8,0.0,0.0,0.73,0.73,0.0,0.0,7,4,4,3,2,0,2,6,1,4,6,1,1,37,52,34,9
Facundo Medina,Lens,ARG,DF,24.0,30.2,0.04,0.03,0.06,0.1,0.63,0.05,219,25,31,7,51,4,18,20,38,24,37,51,19,239,1382,776,5
